"","id","name","email","plz","gender","age","income","years_in_job","religion","job_title","education","pol_immigration","pol_environment","pol_redistribution","pol_eu_integration","ip_address"
"22",22,"Ottilie Scheel","ottilie.scheel@vodafone.de",84524,"female",28,3234.65,11,"None","Medical physicist","high school",4,2,4,4,"31.16.221.216"
"23",23,"Meral Bonbach","meral.bonbach@yahoo.com",80539,"female",45,18647.76,0,"Protestantism","Seismic interpreter","trade school",1,2,1,3,"78.48.114.173"
"24",24,"Hedda Drub","hedda.drub@outlook.com",82269,"female",48,53198.8,0,"Catholicism","Biomedical engineer","high school",5,5,4,1,"217.0.211.226"
"25",25,"Ingmar Eberhardt","ingmar28@hotmail.com",99830,"male",58,66750.89,8,"Protestantism","Biomedical engineer","no degree",5,5,3,4,"217.0.57.214"
"26",26,"Wenke Hertrampf","wenke.hertrampf@gmail.com",22523,"female",43,33275.84,2,"Catholicism","Technical brewer","university",2,2,2,3,"79.192.204.137"
"27",27,"Hans-Christian Birnbaum","hans-christian.birnbaum@gmx.de",80333,"male",41,43974.11,0,"Catholicism","Advertising art director","high school",4,2,2,4,"79.192.70.35"
"28",28,"Ildiko Hahn","ildiko.hahn@vodafone.de",80636,"female",30,56904.06,2,"None","Clothing/textile technologist","high school",5,1,1,1,"79.192.127.61"
"29",29,"Kunigunde Mangold","kunigunde.mangold@bluewin.ch",86759,"female",24,49785.63,2,"Islam","Stage manager","university",2,2,3,2,"78.48.67.198"
"30",30,"Ida Bolzmann","ida47@vodafone.de",50859,"female",27,65838.27,4,"None","Advertising art director","high school",3,3,5,3,"93.192.252.31"
"31",31,"Christin Säuberlich","christin.säuberlich@gmail.com",79875,"female",46,43510.82,2,"Catholicism","IT consultant","university",3,2,4,1,"46.5.48.186"
"32",32,"Solveig Eimer","solveig49@bluewin.ch",80539,"female",28,35050.43,11,"Protestantism","Secondary school teacher","trade school",1,1,5,2,"79.192.228.226"
"33",33,"Rochus Mosemann","rochus11@web.de",97222,"male",23,45612.6,6,"None","Restaurant manager","university",5,3,5,1,"93.192.212.59"
"34",34,"Zehra Röhricht","zehra92@bluewin.ch",6847,"female",24,74064.45,2,"Islam","Politician's assistant","trade school",3,2,3,4,"46.5.67.193"
"35",35,"Elma Killer","elma47@outlook.com",50735,"female",18,19700.02,1,"None","Illustrator","high school",4,1,1,5,"46.5.107.202"
"36",36,"Dörte Gutknecht","dörte87@gmx.de",88260,"female",18,35491.71,1,"Protestantism","Community pharmacist","high school",3,3,3,4,"84.128.71.87"
"37",37,"Gilda Schönland","gilda.schönland@gmail.com",39444,"female",29,31146.67,3,"Protestantism","Solicitor","doctoral title",1,4,4,5,"79.192.100.126"
"38",38,"Nermin Flantz","nermin.flantz@bluewin.ch",80799,"female",18,58538.33,1,"None","Local government officer","high school",2,1,5,5,"78.48.170.46"
"39",39,"Gilda Bauer","gilda.bauer@bluewin.ch",47249,"non-binary",32,25565.51,10,"None","Osteopath","high school",1,2,1,3,"31.16.14.6"
"40",40,"Hans-Otto Heinrich","hans-otto.heinrich@vodafone.de",94535,"male",55,53781.8,12,"None","Medical illustrator","high school",4,1,5,5,"46.5.13.70"
"41",41,"Hans-Jürgen Neuschäfer","hans-jürgen.neuschäfer@gmx.de",72535,"male",33,48621.36,6,"None","Surgeon","trade school",4,2,1,3,"79.192.39.206"
"42",42,"Priska Gehringer","priska38@vodafone.de",69437,"female",57,52099.26,1,"None","Financial controller","high school",3,3,3,4,"79.192.47.192"
"43",43,"Leonid Werner","leonid.werner@bluewin.ch",44145,"male",22,80544.39,5,"None","Systems analyst","high school",5,2,4,2,"78.48.45.255"
"44",44,"Wolf Keudel","wolf79@outlook.com",53773,"male",49,44352.87,0,"None","Sports therapist","high school",2,3,4,5,"2.160.144.60"
"45",45,"Friedo Sontag","friedo99@t-online.de",79793,"male",22,36923.45,5,"Catholicism","Sound technician, broadcasting/film/video","doctoral title",2,2,3,5,"78.48.50.176"
"46",46,"Annemie Gotthard","annemie70@gmx.de",80539,"female",66,108934.56,8,"Catholicism","Amenity horticulturist","high school",4,5,4,3,"79.192.17.226"
"47",47,"Robby Köster","robby97@outlook.com",74388,"male",59,82695.22,6,"None","Firefighter","university",2,1,3,1,"84.128.197.59"
"48",48,"Athanasios Hövel","athanasios.hövel@outlook.com",74906,"male",67,101342.65,16,"Protestantism","Copy","high school",3,4,4,2,"2.160.44.59"
"49",49,"Danilo Henk","danilo96@gmx.de",39649,"non-binary",27,43699.08,3,"Protestantism","Sales promotion account executive","trade school",5,4,2,3,"46.5.133.10"
"50",50,"Friedemann Pärtzelt","friedemann85@web.de",64673,"male",25,55256.89,8,"Catholicism","Public relations officer","trade school",4,5,5,2,"2.160.154.149"
"51",51,"Ayten Kitzmann","ayten.kitzmann@icloud.com",45479,"female",19,57280.41,2,"Protestantism","Financial planner","high school",5,3,1,1,"93.192.232.43"
"52",52,"Marlis Atzler","marlis.atzler@gmx.de",97505,"female",48,65257.71,17,"Catholicism","Museum/gallery curator","high school",4,1,4,1,"78.48.172.48"
"53",53,"Hans-Detlef Bähr","hans-detlef.bähr@bluewin.ch",87730,"male",30,73130.44,5,"Protestantism","Dealer","high school",3,3,2,3,"93.192.76.82"
"54",54,"Kreszentia Kranz","kreszentia46@web.de",13055,"female",58,77231.91,5,"Islam","Higher education careers adviser","high school",3,5,2,5,"87.128.173.156"
"55",55,"Andrzej Salz","andrzej.salz@t-online.de",86567,"non-binary",41,902234.42,4,"None","General practice doctor","university",5,2,5,2,"2.160.10.124"
"56",56,"Pia Wilmsen","pia57@gmail.com",54538,"female",50,49240.52,6,"None","Recruitment consultant","university",5,3,5,2,"84.128.157.65"
"57",57,"Grzegorz Weihmann","grzegorz.weihmann@vodafone.de",3253,"male",18,49181.85,1,"Protestantism","Training and development officer","high school",3,1,1,4,"217.0.247.144"
"58",58,"Corinna Pohl","corinna28@gmail.com",52224,"female",46,45667.06,11,"Catholicism","Mudlogger","high school",1,5,4,4,"31.16.106.76"
"59",59,"Stanislav Jockel","stanislav.jockel@bluewin.ch",36391,"male",27,71020.92,3,"Catholicism","Pharmacist, hospital","high school",1,4,1,4,"84.128.180.251"
"60",60,"Mercedes Bolnbach","mercedes.bolnbach@vodafone.de",80636,"female",53,17867.79,0,"None","Horticultural consultant","high school",5,2,5,3,"87.128.218.196"
"61",61,"Dusan Scheibe","dusan15@t-online.de",90613,"male",39,59154.65,7,"None","Ergonomist","high school",4,2,3,1,"2.160.55.147"
"62",62,"Mehmet Birnbaum","mehmet52@gmx.de",76137,"male",18,34867.09,1,"Protestantism","Chartered accountant","no degree",1,5,4,4,"91.0.95.35"
"63",63,"Hans-H. Nohlmans","hans-h.26@gmail.com",31096,"male",61,103880.23,9,"Protestantism","Psychiatrist","university",4,2,3,2,"78.48.254.112"
"64",64,"Vera Weitzel","vera.weitzel@yahoo.com",66509,"female",46,6537.27,4,"Islam","Data processing manager","high school",5,5,5,2,"2.160.224.133"
"65",65,"Kristian Hörle","kristian15@outlook.com",72660,"non-binary",28,53963.61,5,"Protestantism","Broadcast journalist","trade school",5,1,3,5,"91.0.32.140"
"66",66,"Heinz-Willi Meister","heinz-willi17@gmx.de",80331,"male",38,53233.39,0,"None","Administrator, charities/voluntary organisations","high school",2,2,1,5,"31.16.39.245"
"67",67,"Agnes Rädel","agnes.rädel@bluewin.ch",86688,"female",66,35192.39,0,"Catholicism","Speech and language therapist","high school",1,3,3,5,"93.192.161.252"
"68",68,"Claus-Peter Heser","claus-peter39@gmx.de",76448,"male",46,88998.52,7,"Protestantism","Energy manager","high school",2,3,3,3,"2.160.247.226"
"69",69,"Margaret Etzler","margaret10@gmx.de",7985,"female",32,76185.54,15,"None","Editor, commissioning","high school",3,5,5,5,"84.128.91.68"
"70",70,"Hans-Friedrich Gotthard","hans-friedrich61@yahoo.com",29365,"male",18,15277.69,1,"Catholicism","Advertising account executive","high school",4,4,2,4,"78.48.249.20"
"71",71,"Katarzyna Zorbach","katarzyna70@icloud.com",72149,"female",53,32358.41,4,"Protestantism","Surveyor, land/geomatics","high school",1,3,5,4,"31.16.222.104"
"72",72,"Liesel Mende","liesel.mende@web.de",64546,"female",59,59564.29,0,"Catholicism","Exercise physiologist","high school",2,5,1,3,"2.160.43.58"
"73",73,"Jacek Binner","jacek32@web.de",35764,"male",18,44946.1,1,"None","Risk manager","trade school",1,3,1,5,"93.192.224.157"
"74",74,"Reinald Schottin","reinald14@icloud.com",79771,"male",59,66701.73,10,"Judaism","Risk manager","high school",2,5,5,3,"46.5.52.142"
"75",75,"Mariola Schweitzer","mariola73@t-online.de",7806,"female",37,52378.45,13,"Protestantism","Games developer","high school",5,4,5,2,"31.16.146.53"
"76",76,"Gerhild Trommler","gerhild39@icloud.com",26131,"female",35,28532.02,1,"Protestantism","Illustrator","university",5,1,5,2,"79.192.106.226"
"77",77,"H.-Dieter Stiffel","h.-dieter72@yahoo.com",80799,"male",42,56000.53,5,"Protestantism","Speech and language therapist","university",5,3,5,2,"31.16.33.250"
"78",78,"Christof Grein Groth","christof.grein groth@icloud.com",33758,"male",28,69690.09,11,"None","Gaffer","high school",2,1,1,4,"79.192.103.1"
"79",79,"Mareile Bolander","mareile.bolander@hotmail.com",65931,"female",51,46431.85,2,"Protestantism","Heritage manager","high school",5,3,2,3,"87.128.41.117"
"80",80,"Gudrun Schönland","gudrun.schönland@hotmail.com",54306,"female",65,85894.23,4,"None","Buyer, industrial","high school",3,3,4,5,"46.5.15.114"
"81",81,"Dajana Dowerg","dajana17@outlook.com",80636,"female",45,59395.77,3,"Protestantism","Psychiatrist","university",3,4,1,2,"2.160.33.2"
"82",82,"Marieluise Oderwald","marieluise87@gmail.com",76530,"female",24,50677.57,0,"Protestantism","Public house manager","university",5,3,3,5,"46.5.95.145"
"83",83,"Emanuel Kranz","emanuel79@icloud.com",84140,"male",61,19523.64,3,"Islam","Production assistant, television","trade school",2,3,5,4,"31.16.54.166"
"84",84,"Swantje Meister","swantje13@icloud.com",80636,"female",34,60402.28,5,"Protestantism","Wellsite geologist","high school",3,3,5,1,"46.5.18.167"
"85",85,"Leonhard Müller","leonhard99@yahoo.com",24863,"male",41,73762.07,24,"None","Dealer","high school",4,5,1,3,"79.192.213.100"
"86",86,"Thoralf Kroker","thoralf.kroker@hotmail.com",80636,"male",55,57488.83,2,"Catholicism","Manufacturing engineer","high school",1,3,5,4,"93.192.130.18"
"87",87,"Rebecca Hesse","rebecca16@bluewin.ch",80331,"female",34,48387.34,4,"Catholicism","Engineer, electrical","university",2,3,3,1,"93.192.226.128"
"88",88,"Lissy Wulff","lissy.wulff@bluewin.ch",80539,"female",49,51020.65,32,"Catholicism","Brewing technologist","university",2,1,2,3,"84.128.5.215"
"89",89,"Diether Patberg","diether.patberg@outlook.com",28755,"non-binary",35,106715.14,8,"None","Social researcher","trade school",4,1,2,1,"78.48.219.44"
"90",90,"Freya Speer","freya56@gmx.de",94366,"female",40,52973.81,5,"Catholicism","Advertising account planner","high school",1,3,3,5,"217.0.234.125"
"91",91,"Etta Wirth","etta.wirth@vodafone.de",46395,"female",25,65059.84,5,"Protestantism","Community pharmacist","high school",4,4,4,3,"78.48.5.23"
"92",92,"Sylvie Meister","sylvie86@hotmail.com",80539,"female",46,92745.09,5,"Catholicism","Conservator, furniture","no degree",3,3,2,5,"87.128.22.203"
"93",93,"Ilka Mies","ilka98@vodafone.de",96277,"female",52,60871.39,10,"Catholicism","Designer, blown glass/stained glass","university",4,1,4,3,"46.5.66.254"
"94",94,"Petros Döhn","petros.döhn@icloud.com",80636,"male",18,38100.28,1,"None","Scientist, product/process development","high school",3,3,3,2,"84.128.104.217"
"95",95,"Alla Heidrich","alla.heidrich@outlook.com",99706,"female",70,1508.25,1,"None","Dealer","trade school",1,5,2,2,"2.160.56.0"
"96",96,"Margarita Schönland","margarita.schönland@hotmail.com",13059,"female",45,35839.71,2,"Catholicism","Insurance underwriter","high school",2,3,1,5,"79.192.247.241"
"97",97,"Reginald Hänel","reginald29@t-online.de",79585,"male",61,33524.46,3,"None","Curator","high school",4,5,5,2,"2.160.230.151"
"98",98,"Bianca Hövel","bianca.hövel@outlook.com",80331,"female",48,105629.59,10,"Protestantism","Armed forces logistics/support/administrative officer","university",4,5,5,4,"93.192.251.79"
"99",99,"Holger Rohleder","holger.rohleder@outlook.com",80539,"male",43,37535.39,18,"None","Chief Executive Officer","university",3,2,2,2,"84.128.124.89"
"100",100,"Piotr Hofmann","piotr68@vodafone.de",88319,"male",41,70163.08,3,"Catholicism","Special effects artist","trade school",2,5,2,2,"2.160.22.17"
"101",101,"Ewald Jähn","ewald.jähn@gmail.com",6217,"male",24,44974.2,2,"Buddhism","Quarry manager","doctoral title",5,4,2,5,"78.48.184.215"
"102",102,"Knud Römer","knud.römer@gmail.com",80636,"male",35,65006.97,5,"Catholicism","Therapist, sports","high school",2,5,4,2,"87.128.28.1"
"103",103,"Bastian Keudel","bastian.keudel@icloud.com",21789,"male",48,28030.4,13,"Protestantism","Chartered management accountant","no degree",2,3,2,3,"31.16.109.29"
"104",104,"Sepp Weitzel","sepp72@outlook.com",45657,"male",40,56143.31,1,"Protestantism","Graphic designer","trade school",5,4,3,1,"46.5.86.107"
"105",105,"Edgar Schleich","edgar25@gmx.de",1445,"male",29,21741.1,12,"Catholicism","Professor Emeritus","high school",2,3,4,1,"84.128.251.146"
"106",106,"Cläre Nohlmans","cläre.nohlmans@yahoo.com",92339,"female",18,61855.98,1,"None","Runner, broadcasting/film/video","high school",1,4,3,1,"93.192.93.110"
"107",107,"Alla Geisel","alla56@hotmail.com",92289,"female",18,15326.24,1,"None","Forensic psychologist","trade school",3,5,4,3,"217.0.156.198"
"108",108,"Miroslav Steinberg","miroslav10@bluewin.ch",1587,"male",61,9709.52,5,"None","Engineer, electrical","trade school",5,2,2,1,"2.160.24.160"
"109",109,"Hanne-Lore Scheibe","hanne-lore.scheibe@web.de",80799,"female",44,25659.34,5,"Catholicism","Designer, furniture","university",3,4,2,1,"79.192.237.198"
"110",110,"Hubertine Drubin","hubertine.drubin@gmx.de",91097,"female",55,69044.93,3,"Catholicism","Engineer, manufacturing systems","high school",2,1,2,5,"87.128.93.78"
"111",111,"Hansjoachim Tschentscher","hansjoachim75@gmail.com",67482,"male",35,66301.02,3,"Protestantism","Patent attorney","high school",2,5,2,1,"2.160.244.179"
"112",112,"Lene Hertrampf","lene10@hotmail.com",23863,"female",33,27090.4,2,"None","Research officer, trade union","university",1,3,2,4,"78.48.80.16"
"113",113,"Hans-Christian Bohnbach","hans-christian.bohnbach@gmail.com",80333,"male",48,45324.62,4,"None","Museum/gallery conservator","high school",4,5,4,4,"91.0.85.56"
"114",114,"Hans-Gerhard Freudenberger","hans-gerhard.freudenberger@web.de",93093,"male",60,50849.11,5,"Catholicism","Furniture conservator/restorer","high school",3,3,1,5,"84.128.151.57"
"115",115,"Irmhild Meyer","irmhild.meyer@vodafone.de",24784,"female",70,30421.29,13,"None","Television floor manager","university",3,5,5,4,"2.160.19.208"
"116",116,"Susi Putz","susi.putz@yahoo.com",80539,"female",47,50230.45,3,"Protestantism","Print production planner","high school",2,3,3,4,"31.16.27.166"
"117",117,"Korbinian Hövel","korbinian.hövel@t-online.de",26121,"male",25,37902.42,6,"None","Financial trader","high school",4,4,4,1,"87.128.18.148"
"118",118,"Mercedes Ebert","mercedes63@t-online.de",86690,"female",18,55949.2,1,"Catholicism","Estate agent","high school",1,4,4,4,"79.192.159.13"
"119",119,"Nikolaj Schottin","nikolaj.schottin@gmx.de",80799,"male",41,53509.42,0,"None","Trading standards officer","trade school",1,4,3,5,"87.128.190.95"
"120",120,"Trudel Holt","trudel.holt@icloud.com",56340,"female",70,57558.17,2,"Catholicism","Housing manager/officer","university",1,5,1,1,"2.160.234.221"
"121",121,"Luis Trapp","luis.trapp@bluewin.ch",80539,"male",37,67904.73,3,"Protestantism","Community pharmacist","high school",2,1,5,2,"217.0.183.52"
"122",122,"Celal Löffler","celal27@outlook.com",80636,"male",18,37003.44,1,"None","Sound technician, broadcasting/film/video","high school",2,5,2,2,"79.192.92.180"
"123",123,"Luisa Jacobi Jäckel","luisa.jacobi jäckel@hotmail.com",77756,"female",41,74012.32,0,"None","Catering manager","high school",1,1,5,5,"91.0.153.248"
"124",124,"Cosimo Wende","cosimo.wende@icloud.com",53225,"male",47,54693.74,0,"None","Nutritional therapist","doctoral title",1,1,4,2,"79.192.127.121"
"125",125,"Flora Klingelhöfer","flora.klingelhöfer@t-online.de",80539,"female",62,36977.03,12,"None","Surveyor, mining","high school",3,5,4,3,"2.160.217.44"
"126",126,"Bernward Barth","bernward16@t-online.de",80333,"male",37,36546.4,2,"None","Designer, industrial/product","trade school",5,3,1,5,"46.5.54.185"
"127",127,"Leonhard Höfig","leonhard47@vodafone.de",80799,"male",33,84045.58,10,"Catholicism","Geographical information systems officer","high school",4,3,3,3,"79.192.214.152"
"128",128,"Sandra Adolph","sandra.adolph@web.de",80799,"female",25,82138.06,1,"None","Furniture designer","university",2,4,5,4,"31.16.17.245"
"129",129,"Ernestine Mielcarek","ernestine.mielcarek@gmail.com",39599,"female",50,30733.31,1,"None","Multimedia programmer","high school",1,2,2,3,"79.192.11.202"
"130",130,"Till Speer","till.speer@hotmail.com",76229,"male",43,61673.59,3,"Protestantism","Pharmacist, community","doctoral title",2,5,4,3,"46.5.89.175"
"131",131,"Erdmute Conradi","erdmute.conradi@web.de",4416,"female",50,69536.55,1,"Protestantism","Curator","doctoral title",4,3,1,1,"91.0.27.152"
"132",132,"Torsten Meister","torsten43@hotmail.com",8141,"male",38,48347.66,6,"Protestantism","Event organiser","trade school",3,5,5,1,"78.48.228.26"
"133",133,"Franz-Peter Klemt","franz-peter.klemt@icloud.com",4821,"male",36,66190.75,0,"Protestantism","Energy engineer","no degree",2,3,3,2,"31.16.253.69"
"134",134,"Alois Gierschner","alois16@gmx.de",86153,"male",63,66078.75,11,"None","Armed forces operational officer","no degree",2,5,3,4,"87.128.197.193"
"135",135,"Cathleen Kraushaar","cathleen.kraushaar@web.de",76698,"female",56,18269.69,1,"None","Geophysicist/field seismologist","high school",3,4,2,1,"91.0.112.72"
"136",136,"Friedo Karge","friedo.karge@hotmail.com",86701,"non-binary",41,59707.29,1,"Protestantism","Sales promotion account executive","high school",5,1,2,5,"84.128.174.32"
"137",137,"Goran Mangold","goran54@outlook.com",58708,"male",40,52099.71,17,"None","Conservation officer, historic buildings","high school",3,2,4,1,"46.5.234.33"
"138",138,"Ellen Ullrich","ellen29@t-online.de",54455,"female",26,34656.89,4,"Protestantism","Engineer, electrical","trade school",1,4,5,4,"2.160.182.200"
"139",139,"Ronny Rust","ronny99@yahoo.com",35619,"male",45,34257.44,10,"Catholicism","Statistician","doctoral title",5,5,1,1,"2.160.155.208"
"140",140,"Solveig Wulf","solveig.wulf@yahoo.com",64385,"female",31,24074.2,14,"None","Sport and exercise psychologist","doctoral title",4,5,2,3,"2.160.231.148"
"141",141,"Stjepan Gröttner","stjepan.gröttner@t-online.de",6132,"male",48,64152.22,1,"Catholicism","Pharmacist, community","high school",3,1,1,5,"79.192.234.51"
"142",142,"Gertraut Bohnbach","gertraut24@outlook.com",82110,"female",47,83251.7,2,"Protestantism","Water engineer","high school",5,2,1,3,"217.0.225.21"
"143",143,"Janett Weller","janett22@web.de",73734,"female",42,64440.78,13,"Protestantism","Data scientist","university",4,1,5,1,"31.16.99.136"
"144",144,"Kathleen Eckbauer","kathleen38@yahoo.com",31249,"female",26,47105.72,9,"None","Commercial horticulturist","high school",5,4,4,5,"217.0.170.222"
"145",145,"Magrit Jessel","magrit42@icloud.com",94538,"female",44,36879.16,3,"Catholicism","Horticulturist, commercial","no degree",4,1,2,1,"78.48.151.217"
"146",146,"Nikolaus Schulz","nikolaus64@yahoo.com",84130,"male",38,42220.17,15,"Protestantism","Homeopath","high school",4,4,4,1,"78.48.143.102"
"147",147,"Hans-Friedrich Lachmann","hans-friedrich59@bluewin.ch",57648,"male",39,63960.04,0,"None","Minerals surveyor","trade school",2,4,3,2,"2.160.121.190"
"148",148,"Friedrich-Karl Trüb","friedrich-karl88@hotmail.com",37449,"male",55,3530.08,9,"None","Cartographer","trade school",1,1,2,2,"46.5.212.158"
"149",149,"Jeannette Jähn","jeannette15@gmail.com",80799,"female",36,13668.6,4,"Islam","Programmer, multimedia","trade school",3,2,4,4,"79.192.216.94"
"150",150,"Halil Rohleder","halil94@web.de",80333,"male",47,50377.45,7,"Protestantism","IT trainer","trade school",4,4,3,2,"79.192.227.161"
"151",151,"Wera Mühle","wera92@hotmail.com",31637,"female",45,61128.01,3,"Catholicism","Commercial/residential surveyor","high school",1,3,4,3,"217.0.191.39"
"152",152,"Jaroslaw Gumprich","jaroslaw84@vodafone.de",3253,"male",23,43719.31,4,"None","Water engineer","high school",1,2,4,2,"84.128.22.39"
"153",153,"Gesine Karge","gesine85@vodafone.de",80636,"female",41,54589.13,10,"None","Insurance broker","university",2,4,2,5,"84.128.240.1"
"154",154,"Dörthe Sölzer","dörthe.sölzer@gmail.com",80799,"female",57,19115.9,10,"None","Museum/gallery exhibitions officer","trade school",3,5,5,2,"78.48.122.2"
"155",155,"Clara Kuhl","clara.kuhl@hotmail.com",27333,"female",42,10024.02,2,"Catholicism","Ceramics designer","high school",4,4,1,4,"78.48.136.248"
"156",156,"Robin Martin","robin.martin@gmx.de",91284,"male",28,85761.37,7,"Catholicism","Camera operator","high school",1,3,1,3,"217.0.235.68"
"157",157,"Sonja Pruschke","sonja.pruschke@web.de",80331,"non-binary",68,82607.2,3,"Catholicism","Paramedic","university",4,2,2,3,"31.16.197.34"
"158",158,"Roy Kuhl","roy50@yahoo.com",80799,"male",56,44383.8,1,"None","Fitness centre manager","trade school",5,2,3,4,"217.0.82.206"
"159",159,"Liesbeth Holsten","liesbeth61@icloud.com",9380,"female",34,66185.55,15,"Catholicism","Immunologist","high school",1,2,4,2,"2.160.76.142"
"160",160,"Olaf Zobel","olaf.zobel@t-online.de",80636,"male",56,46443.35,11,"Protestantism","Chief Executive Officer","high school",1,2,3,3,"31.16.10.165"
"161",161,"Xenia Rogge","xenia.rogge@web.de",79256,"female",52,41571.2,9,"Protestantism","Purchasing manager","trade school",1,5,3,1,"2.160.34.33"
"162",162,"Wibke Pohl","wibke.pohl@gmail.com",86685,"female",45,48002.36,1,"Catholicism","Pharmacist, hospital","university",5,1,1,1,"78.48.11.82"
"163",163,"Raissa Tröst","raissa.tröst@gmail.com",67468,"female",47,64303.37,0,"Protestantism","Physiotherapist","high school",3,5,1,5,"79.192.254.226"
"164",164,"Ellen Wagner","ellen.wagner@t-online.de",47226,"female",57,63828.73,10,"Catholicism","Market researcher","high school",2,3,2,1,"217.0.48.16"
"165",165,"Eckart Loos","eckart.loos@yahoo.com",80539,"male",26,62158.38,1,"Islam","Marketing executive","high school",4,4,3,1,"217.0.74.239"
"166",166,"Edith Blümel","edith.blümel@gmail.com",53545,"female",35,36173.97,6,"None","Horticulturist, amenity","university",2,5,3,5,"46.5.46.219"
"167",167,"Miroslawa Täsche","miroslawa10@gmail.com",80799,"female",42,22233.87,0,"Islam","Jewellery designer","trade school",1,2,1,2,"84.128.15.122"
"168",168,"Franz-Josef Hellwig","franz-josef.hellwig@vodafone.de",54413,"male",24,65795.96,2,"Catholicism","Make","high school",2,1,2,3,"2.160.15.158"
"169",169,"Isabel Kade","isabel29@yahoo.com",80333,"female",18,50500.79,1,"None","Child psychotherapist","university",1,3,5,5,"79.192.249.204"
"170",170,"Carin Klingelhöfer","carin54@outlook.com",94522,"female",44,34635.22,6,"None","Interior and spatial designer","high school",1,1,4,3,"87.128.57.157"
"171",171,"Liesel Kraushaar","liesel15@hotmail.com",19209,"female",61,51093.9,11,"None","Environmental health practitioner","high school",2,4,4,5,"93.192.227.70"
"172",172,"Eugen Kramer","eugen13@hotmail.com",37079,"male",30,38140.07,13,"None","Health and safety inspector","high school",1,2,5,1,"217.0.144.1"
"173",173,"Sigmund Peukert","sigmund53@outlook.com",94239,"non-binary",48,83316.86,2,"Catholicism","Broadcast journalist","trade school",2,1,1,5,"91.0.61.57"
"174",174,"Leni Mitschke","leni56@vodafone.de",80333,"female",45,96422.37,10,"None","Health visitor","high school",2,5,4,5,"84.128.126.41"
